ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
diesel,suv,1,bmw,bmw x1,2013,337,sdrive 20d sportline,900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,29000,up21,1995,automatic,23,13,16,28,8,17.05,184.0,380.0,17.0,Delhi
petrol,suv,1,mercedes-benz,mercedes-benz glc,2020,6837,200,5245000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,38000,dl09,1991,automatic,31,14,16,42,12,12.74,197.0,198.9501258327165,19.0,Delhi
diesel,suv,1,tata,tata safari storme,2013,2876,ex,350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,150000,uk07,2179,manual,14,9,11,15,0,14.0,138.1,320.0,16.0,Delhi
diesel,suv,1,hyundai,hyundai venue,2019,6949,sx opt diesel bsiv,839000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,83329,hr51,1396,manual,23,11,14,34,5,23.7,88.7,220.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti zen estilo,2008,5765,1.1 lxi bsiii,120000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,43000,unknown,1061,manual,7,6,2,0,0,18.2,64.0,84.0,13.0,Delhi
petrol,hatchback,1,hyundai,hyundai grand i10 nios,2022,7091,sportz,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,8000,unknown,1197,manual,15,11,12,24,10,20.7,81.86,198.9501258327165,14.0,Delhi
petrol,suv,1,skoda,skoda kushaq,2021,8478,1.0 tsi ambition at bsvi,1284000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,11404,up80,999,automatic,21,10,18,28,10,17.2,113.98,178.0,16.0,Delhi
petrol,suv,2,hyundai,hyundai creta,2019,8179,1.6 vtvt sx plus,850000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,70000,hr72,1591,manual,21,11,16,24,8,13.0,121.3,151.0,17.0,Delhi
diesel,hatchback,1,tata,tata altroz,2023,10226,xz diesel,869999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23000,up16,1497,manual,19,12,15,27,11,23.64,88.77,200.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti ignis,2022,7586,zeta bsvi,634000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,19044,hr98,1197,manual,15,7,13,26,9,20.89,81.8,113.0,15.0,Delhi
petrol,sedan,1,bmw,bmw 7 series,2017,5547,740li dpe signature,7500000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23500,hr26,2998,automatic,29,16,16,37,12,12.5,321.84,450.0,19.0,Delhi
petrol,suv,1,hyundai,hyundai creta,2019,6430,1.6 sx,1250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17367,hr26,1591,manual,28,12,15,30,9,15.8,121.3,151.0,17.0,Delhi
diesel,suv,1,kia,kia seltos,2020,7114,htk diesel,1325000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,3800,dl2c,1493,manual,14,10,9,28,9,20.8,113.43,198.9501258327165,16.0,Delhi
