ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,hatchback,1,maruti,maruti wagon r,2020,6771,vxi opt,600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,ts08,998.0,manual,9,9,5,27,6,21.79,67.05,90.0,16.0,Hyderabad
diesel,suv,1,jeep,jeep compass,2018,5929,2.0 limited,1400000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,ts07,1956.0,manual,14,12,16,23,8,17.1,170.0,350.0,17.0,Hyderabad
diesel,suv,1,jeep,jeep compass,2019,6602,2.0 limited plus 4x4 bsiv,1900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,ts07,1956.0,manual,15,12,18,25,8,16.3,170.63,350.0,18.0,Hyderabad
petrol,hatchback,1,hyundai,hyundai i20,2020,8155,sportz turbo imt,740000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,ts07,998.0,manual,20,10,12,33,10,20.0,118.36,173.80562174236783,16.0,Hyderabad
petrol,sedan,2,hyundai,hyundai aura,2020,7331,sx plus amt,766000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,39886,ts22,1197.0,automatic,19,11,12,24,11,20.1,81.86,173.80562174236783,15.0,Hyderabad
diesel,suv,1,renault,renault duster,2014,5066,85ps diesel rxl,440000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,107588,ts08,1461.0,manual,15,9,7,14,4,20.45,83.8,200.0,16.0,Hyderabad
petrol,hatchback,1,hyundai,hyundai grand i10,2017,5604,1.2 kappa sportz bsiv,519000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,36621,ts13,1197.0,manual,16,9,13,24,7,18.9,81.86,173.80562174236783,16.0,Hyderabad
diesel,suv,1,mg,mg hector plus,2020,7907,sharp diesel mt,1600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,6,80000,ap39,1956.0,manual,19,6,23,24,11,16.65,167.67,173.80562174236783,18.0,Hyderabad
petrol,hatchback,1,maruti,maruti s-presso,2022,9220,vxi plus bsvi,525000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,18900,ts07,998.0,manual,8,6,5,20,11,24.76,65.71,89.0,16.0,Hyderabad
diesel,suv,1,kia,kia seltos,2019,7115,htk plus d,1108000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,70754,ts11,1493.0,manual,19,11,14,30,9,20.8,113.43,173.80562174236783,16.0,Hyderabad
petrol,hatchback,1,maruti,maruti s-presso,2020,7172,vxi 2019-2022,420000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,59832,ts28,998.0,manual,6,6,5,20,7,21.7,65.71,89.0,16.0,Hyderabad
petrol,sedan,2,maruti,maruti swift dzire,2017,7077,vxi 1.2,605000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,60068,ts08,1197.0,manual,19,11,8,29,9,21.21,81.8,113.0,16.0,Hyderabad
petrol,hatchback,1,maruti,maruti alto 800,2018,7073,lxi,326000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,41261,ts30,796.0,manual,5,6,4,13,0,22.05,47.33,69.0,16.0,Hyderabad
petrol,suv,1,ford,ford ecosport,2020,6087,1.5 petrol titanium bsiv,950000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,32209,ts07,1497.0,manual,17,12,12,27,9,17.0,121.31,150.0,16.0,Hyderabad
petrol,hatchback,1,honda,honda jazz,2018,1339,1.2 v i vtec,639000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,75747,ts09,1199.0,manual,13,12,12,22,9,18.7,88.7,110.0,15.0,Hyderabad
petrol,hatchback,2,hyundai,hyundai i20,2018,5701,1.2 asta option,712000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,49241,ts10,1197.0,manual,21,11,12,28,9,18.6,81.83,114.7,16.0,Hyderabad
