ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,suv,1,mahindra,mahindra xuv300,2019,6794,w8 bsiv,900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,unknown,1197,manual,20,12,15,32,8,17.0,110.0,200.0,17.0,Jaipur
petrol,suv,1,tata,tata nexon,2021,7990,xma amt s bsvi,950000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,rj19,1199,automatic,11,10,11,23,7,17.05,118.35,170.0,16.0,Jaipur
diesel,suv,1,tata,tata harrier,2020,7510,xz plus dark edition bsvi,1900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,rj45,1956,manual,17,15,16,26,11,16.35,167.67,350.0,18.0,Jaipur
petrol,sedan,1,volkswagen,volkswagen ameo,2017,1885,1.2 mpi highline,436000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,92721,rj45,1198,manual,15,11,10,18,8,17.0,73.75,110.0,15.0,Jaipur
diesel,suv,1,hyundai,hyundai creta,2016,1442,1.6 crdi sx,1000000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,unknown,1582,manual,20,10,16,23,9,19.67,126.2,259.9,16.0,Jaipur
petrol,hatchback,1,volkswagen,volkswagen polo,2012,1960,petrol trendline 1.2l,252000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,34644,rj01,1198,manual,8,10,7,13,3,16.47,73.9,110.0,14.0,Jaipur
petrol,hatchback,2,maruti,maruti baleno,2021,6777,delta,685000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23000,rj14,1197,manual,11,10,14,27,7,21.01,81.8,113.0,16.0,Jaipur
petrol,sedan,1,honda,honda city,2015,1275,i vtec sv,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,rj14,1497,manual,17,10,5,22,3,17.4,117.3,145.0,16.0,Jaipur
diesel,sedan,2,honda,honda amaze,2018,6422,v cvt diesel bsiv,699000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,95000,rj27,1498,automatic,17,12,10,27,8,23.8,78.9,160.0,16.0,Jaipur
diesel,sedan,1,maruti,maruti swift dzire,2018,5832,zdi,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,69000,rj45,1248,manual,22,13,11,30,9,28.4,74.02,190.0,15.0,Jaipur
petrol,hatchback,1,maruti,maruti alto 800,2018,3921,lxi,325000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,22000,rj45,796,manual,6,8,4,10,0,24.7,47.3,69.0,16.0,Jaipur
diesel,sedan,2,bmw,bmw 5 series,2012,5293,520d sedan,1300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,85000,unknown,1995,automatic,19,12,12,27,6,18.48,177.0,35.7,17.0,Jaipur
diesel,suv,2,skoda,skoda kodiaq,2017,5357,2.0 tdi style,2250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,90000,unknown,1968,automatic,29,12,15,34,9,16.25,148.0,171.20369154228854,18.0,Jaipur
diesel,suv,1,bmw,bmw x5,2017,361,xdrive 30d,4600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,82243,rj14,2993,automatic,23,14,18,27,7,15.3,258.0,560.0,18.0,Jaipur
petrol,hatchback,2,hyundai,hyundai i20,2013,1654,sportz 1.2,375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,63000,rj14,1197,manual,10,11,10,19,4,18.5,82.85,113.7,14.0,Jaipur
diesel,hatchback,1,maruti,maruti baleno,2016,3966,1.3 delta,560000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,77177,rj14,1248,manual,11,10,12,24,8,27.39,74.0,190.0,16.0,Jaipur
diesel,sedan,1,volkswagen,volkswagen vento,2011,2012,diesel trendline,590000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,28368,rj14,1598,manual,12,9,8,12,3,20.54,103.6,250.0,14.0,Jaipur
petrol,suv,1,renault,renault kiger,2022,6894,rxe,555000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,rj45,999,manual,7,8,8,17,0,19.17,71.01,96.0,16.0,Jaipur
petrol,suv,1,bmw,bmw x1,2022,7666,sdrive20i xline,4200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,9690,rj45,1998,automatic,33,16,25,42,11,14.82,189.08,171.20369154228854,17.0,Jaipur
petrol,hatchback,2,tata,tata nano,2011,2796,lx,60000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,4,40000,rj02,624,manual,11,8,7,12,4,26.0,35.0,171.20369154228854,12.0,Jaipur
petrol,hatchback,1,maruti,maruti swift,2019,7084,vxi,600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,unknown,1197,manual,13,10,6,28,7,21.21,81.8,113.0,16.0,Jaipur
petrol,hatchback,2,hyundai,hyundai eon,2011,1492,magna optional,170000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,rj37,814,manual,8,8,7,11,5,21.1,55.2,74.5,13.0,Jaipur
diesel,hatchback,1,volkswagen,volkswagen polo,2014,1953,diesel comfortline 1.2l,343000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,62761,rj14,1199,manual,9,11,12,14,6,22.07,73.9,180.0,15.0,Jaipur
petrol,hatchback,1,maruti,maruti wagon r,2019,7050,vxi 1.2,544000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,45075,rj45,1197,manual,10,9,5,25,6,20.52,81.8,113.0,16.0,Jaipur
petrol,suv,1,mahindra,mahindra xuv300,2021,7241,w8 bsvi,990000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,36882,rj45,1197,manual,17,11,16,25,11,16.82,108.62,200.0,16.0,Jaipur
petrol,hatchback,1,hyundai,hyundai grand i10,2015,1542,asta,469000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,82030,rj14,1197,manual,16,11,14,17,7,18.9,82.0,114.0,14.0,Jaipur
petrol,hatchback,1,maruti,maruti baleno,2017,3960,1.2 cvt zeta,716000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,31469,rj14,1197,automatic,13,12,13,27,8,21.4,83.1,115.0,16.0,Jaipur
petrol,suv,1,maruti,maruti sx4 s cross,2022,7934,zeta,1000000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,rj27,1462,manual,16,9,13,25,11,18.55,103.25,138.0,16.0,Jaipur
petrol,hatchback,3,chevrolet,chevrolet spark,2010,593,1.0 ls,150000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,70000,unknown,995,manual,9,7,3,11,0,18.0,62.0,90.3,13.0,Jaipur
diesel,hatchback,1,hyundai,hyundai i20,2014,1656,sportz 1.4 crdi,305000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,rj14,1396,manual,10,11,10,19,4,21.9,88.76,219.6,14.0,Jaipur
diesel,sedan,2,maruti,maruti swift dzire,2017,4222,vdi optional,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,unknown,1248,manual,12,9,10,22,6,26.59,74.0,190.0,16.0,Jaipur
diesel,suv,3,audi,audi q3,2014,91,2.0 tdi,1300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,hr30,1968,automatic,23,13,18,30,8,15.73,174.33,380.0,16.0,Jaipur
petrol,hatchback,5,honda,honda brio,2012,1203,s mt,290000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,70000,unknown,1198,manual,10,8,5,16,3,19.4,86.8,109.0,16.0,Jaipur
diesel,sedan,2,hyundai,hyundai verna,2013,1817,1.6 sx,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,unknown,1582,manual,14,11,10,23,8,22.32,126.32,259.8,16.0,Jaipur
lpg,sedan,2,hyundai,hyundai accent,2011,1425,executive lpg,210000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,rj14,1495,manual,11,7,8,13,0,13.2,93.7,124.5,13.0,Jaipur
