ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,suv,1,tata,tata nexon,2022,9207,xm plus s bsvi,1005000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,10000,ka02,1199,manual,14,10,11,23,11,17.33,118.35,170.0,16.0,Bangalore
petrol,sedan,2,honda,honda city,2016,1215,i vtec v,775000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,67000,ka53,1497,manual,17,12,10,23,7,17.8,117.3,145.0,15.0,Bangalore
diesel,sedan,3,bmw,bmw 5 series,2011,5293,520d sedan,2200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,unknown,1995,automatic,19,12,12,27,6,18.48,177.0,35.7,17.0,Bangalore
petrol,hatchback,1,maruti,maruti swift,2016,10403,vxi,582000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,18083,ka04,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Bangalore
petrol,suv,1,renault,renault duster,2020,7703,rxs,1090000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,ka01,1498,manual,15,10,11,23,11,16.42,104.55,142.0,16.0,Bangalore
petrol,hatchback,2,tata,tata tiago,2016,2983,1.2 revotron xz,457000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,57634,ka05,1199,manual,14,12,13,24,8,23.84,84.0,114.0,14.0,Bangalore
petrol,sedan,2,mercedes-benz,mercedes-benz s-class,2016,4716,s 500 l,4900000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,unknown,4663,automatic,25,12,14,29,11,7.81,453.26,700.0,19.0,Bangalore
petrol,sedan,1,honda,honda city,2015,1279,i vtec v,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,110000,hr26,1497,manual,17,10,8,23,4,17.4,117.3,145.0,15.0,Bangalore
petrol,hatchback,1,hyundai,hyundai santro,2018,6670,sportz amt bsiv,570000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,23447,ka04,1086,automatic,13,8,9,23,7,20.3,68.0,99.0,16.0,Bangalore
lpg,hatchback,2,hyundai,hyundai santro xing,2009,1712,gls lpg,220000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,30000,unknown,1086,manual,8,6,6,16,4,13.45,62.1,96.1,13.0,Bangalore
petrol,sedan,1,mercedes-benz,mercedes-benz e-class,2017,7578,exclusive e 200,4145000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,33000,ka05,1991,automatic,31,15,13,37,9,15.0,194.4,300.0,17.0,Bangalore
diesel,suv,2,mahindra,mahindra xuv500,2014,3822,w6 2wd,861000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,7,87667,ka04,2179,manual,17,10,11,20,4,15.1,140.0,330.0,16.0,Bangalore
diesel,sedan,2,audi,audi a4,2016,12,35 tdi premium,1785000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,ka51,1968,automatic,20,13,12,30,8,17.11,174.33,380.0,16.0,Bangalore
diesel,suv,2,mahindra,mahindra xuv500,2014,3823,w8 2wd,802999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,79012,ka51,2179,manual,17,11,12,22,6,15.1,140.0,330.0,17.0,Bangalore
diesel,suv,1,jeep,jeep compass,2021,8320,model s diesel bsvi,2565000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,31344,ka05,1956,manual,25,13,23,38,13,17.1,167.67,350.0,18.0,Bangalore
petrol,sedan,1,hyundai,hyundai xcent,2018,5785,1.2 vtvt sx,674000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,unknown,1197,manual,21,10,12,29,7,20.14,81.86,179.23388467374812,14.0,Bangalore
