ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
4,2,1,22,204,2016,5176,846,3675000,2,4,40000,139,1998,0,23,14,18,33,10,17.33,189.08,280.0,16.0,0
4,2,1,29,261,2019,6969,1823,610000,2,5,60932,107,1199,1,16,13,13,24,9,23.84,83.83,114.0,15.0,0
4,8,2,13,103,2020,7122,1061,1675000,2,5,33539,109,1353,0,24,14,20,34,10,16.5,138.08,179.23388467374812,17.0,0
4,2,2,29,261,2018,2985,129,530000,2,5,66837,109,1199,1,14,11,13,24,8,23.84,84.0,114.0,16.0,0
1,7,1,20,186,2022,7406,732,7990000,4,5,400,141,2925,0,23,11,9,45,9,0.0,281.61,600.0,18.0,0
4,2,2,19,140,2008,3903,1192,250000,5,5,60000,315,796,1,5,4,2,6,2,19.7,46.3,62.0,12.0,0
4,2,1,9,76,2019,6808,1245,715000,5,5,44285,112,1197,1,16,9,8,26,8,18.6,81.86,179.23388467374812,16.0,0
1,8,2,20,188,2014,4634,640,3500000,5,7,100000,184,2987,0,24,14,19,30,9,11.3,254.8,619.0,19.0,0
1,8,1,29,252,2021,8311,1849,2250000,2,6,25000,120,1956,0,19,15,17,27,11,14.08,167.67,350.0,18.0,0
4,2,1,9,73,2018,5607,87,625000,2,5,36735,107,1197,1,19,11,14,24,7,18.9,81.86,179.23388467374812,14.0,0
1,8,1,0,10,2015,122,632,2695000,2,7,79000,139,2967,0,22,13,17,31,9,12.07,241.4,550.0,18.0,0
1,8,2,16,125,2010,3700,1465,650000,5,8,120000,120,2179,1,10,8,10,13,0,12.05,120.0,290.0,16.0,0
4,2,1,27,230,2022,7433,23,550000,5,5,10000,138,999,0,10,7,8,22,9,22.0,67.0,91.0,16.0,0
1,8,1,29,253,2018,5996,279,825000,2,5,53645,109,1497,1,10,11,6,20,6,21.5,108.5,260.0,16.0,0
4,2,2,9,72,2006,1511,1039,220000,5,5,100000,107,1341,1,9,3,4,6,2,15.3,106.46522829131652,115.0,13.0,0
4,2,1,19,146,2014,10358,1685,428000,2,5,53982,107,998,0,10,8,6,23,0,26.68,65.71,89.0,16.0,0
1,7,1,28,240,2014,3152,300,695000,5,5,110000,107,1498,1,18,12,11,20,7,21.14,103.52,250.0,15.0,0
4,8,2,6,48,2019,7350,268,930000,5,5,37741,105,1496,1,20,13,16,29,8,15.9,120.69,149.0,16.0,0
4,2,1,19,141,2021,7277,1718,455000,2,5,17367,106,796,1,6,6,5,17,7,22.05,47.33,69.0,16.0,0
1,8,1,9,69,2017,1443,349,1195000,2,5,94000,109,1582,1,23,11,16,24,8,19.67,126.2,259.9,16.0,0
1,8,1,29,245,2021,9846,1852,2175000,2,5,33700,108,1956,0,17,15,16,24,11,14.6,167.67,350.0,17.0,0
4,2,3,19,163,2014,10403,1676,442000,2,5,54601,141,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
1,2,1,19,163,2018,6195,1635,690000,5,5,110000,134,1248,1,12,10,5,26,7,28.4,74.0,190.0,16.0,0
4,2,2,19,146,2017,3983,1910,500000,4,5,64000,108,998,1,11,10,10,21,7,23.1,67.04,90.0,14.0,0
1,7,1,1,16,2016,6631,1167,3395000,2,5,40525,145,1995,0,28,15,15,33,13,21.76,188.0,400.0,18.0,0
1,7,1,19,149,2015,4002,1640,650000,5,5,100000,315,1248,1,16,11,9,21,7,26.21,88.5,200.0,16.0,0
4,2,2,8,62,2016,1340,154,537000,2,5,44154,107,1199,0,13,12,12,22,9,19.0,88.7,110.0,15.0,0
1,5,1,27,231,2016,5099,426,750000,5,7,70000,315,1461,1,19,13,11,24,7,19.98,108.5,245.0,15.0,0
4,7,1,28,239,2018,6121,403,1789999,2,5,79000,121,1798,0,25,13,15,31,9,15.1,178.0,250.0,16.0,0
4,2,2,29,261,2017,2969,123,468000,5,5,68039,141,1199,1,10,10,7,22,8,23.84,84.0,114.0,16.0,0
4,2,2,19,161,2014,4141,1676,420000,5,5,60000,107,1197,1,10,9,7,16,0,18.5,85.8,114.0,16.0,0
4,2,2,19,161,2014,4141,1676,420000,5,5,60000,107,1197,1,10,9,7,16,0,18.5,85.8,114.0,16.0,0
4,2,1,9,76,2021,8171,774,919999,5,5,10000,139,998,1,27,12,19,35,12,20.0,118.36,179.23388467374812,16.0,0
4,7,1,8,59,2013,1264,1628,533000,4,5,49873,109,1497,1,14,7,8,17,5,16.8,116.3,146.0,15.0,0
4,2,3,31,285,2013,1961,1055,850000,5,5,90000,107,1197,0,11,11,10,16,4,17.2,103.6,175.0,15.0,0
1,7,2,28,240,2017,3141,298,751000,5,5,48960,140,1498,1,22,13,11,27,6,21.13,108.6,250.0,15.0,0
1,2,2,9,73,2014,1551,862,388000,5,5,70000,108,1120,1,8,8,3,13,0,24.0,70.0,160.0,16.0,0
4,2,2,9,76,2013,1654,1484,490000,2,5,68000,139,1197,1,10,11,10,19,4,18.5,82.85,113.7,14.0,0
1,8,1,16,120,2016,3558,1251,494000,4,6,23017,108,1198,1,10,11,10,20,6,25.32,77.0,190.0,16.0,0
1,2,2,9,76,2013,1657,755,525000,2,5,83000,107,1396,1,11,11,13,20,4,21.27,88.76,219.6,14.0,0
1,8,2,1,21,2016,9775,1773,2890000,2,5,92000,139,1995,0,25,13,13,40,13,16.55,187.74,400.0,19.0,0
4,2,1,19,170,2018,5589,1719,550000,2,5,62139,141,998,1,11,9,12,21,6,20.51,67.04,90.0,16.0,0
3,2,1,9,75,2013,1575,1240,365000,2,5,74000,108,1086,1,8,6,5,14,0,19.2,68.05,99.04,13.0,0
4,2,2,27,230,2016,5431,2,420000,2,5,26500,141,999,0,9,9,7,21,6,24.04,67.0,91.0,16.0,0
1,7,1,32,293,2017,2061,880,1895000,2,5,81716,105,1969,0,22,13,11,29,7,27.03,190.0,400.0,17.0,0
1,7,2,20,186,2018,7577,951,5990000,2,5,24000,107,2987,0,31,15,13,38,9,17.0,254.8,620.0,17.0,0
