ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
1,8,1,14,107,2018,4860,1423,4445000,2,7,61000,105,2179,0,20,13,15,28,9,12.51,187.7,420.0,18.0,0
1,5,1,16,122,2019,6517,1224,1350000,5,7,50000,134,1497,1,22,12,13,28,9,17.3,121.0,300.0,17.0,0
4,2,1,19,141,2015,10327,1676,312000,2,5,50406,141,796,1,6,6,5,17,5,22.05,47.33,69.0,16.0,0
4,2,1,9,73,2017,5605,100,582000,2,5,26483,105,1197,1,15,9,12,24,9,18.9,81.86,179.23388467374812,16.0,0
1,2,2,29,248,2015,2514,1159,150000,5,5,80000,107,1396,1,6,8,5,9,0,25.0,69.0,140.0,16.0,0
4,8,1,16,120,2018,3556,1257,618000,2,6,12104,105,1198,1,12,10,12,23,6,18.15,82.0,115.0,14.0,0
4,2,1,8,62,2021,7977,1664,916000,2,5,23721,108,1199,0,17,12,14,22,11,17.1,88.5,110.0,15.0,0
1,2,1,6,52,2012,1043,937,300000,5,5,80000,108,1399,1,10,9,9,16,7,20.0,68.05,160.0,16.0,0
4,2,1,19,162,2022,7173,1716,555000,2,5,8212,120,998,1,8,6,5,20,10,21.7,65.71,89.0,16.0,0
1,7,3,28,242,2011,3208,534,500000,5,5,80000,108,2496,0,20,12,12,23,5,11.9,163.2,35.7,16.0,0
4,2,1,19,143,2021,5920,78,950000,2,5,9358,139,1197,0,15,12,13,28,9,21.4,83.1,115.0,16.0,0
4,7,1,19,164,2016,10244,1676,608000,2,5,62011,105,1197,1,15,10,9,24,8,22.41,88.5,113.0,16.0,0
1,7,2,29,249,2011,2672,1176,125000,5,5,120000,110,1405,1,11,11,7,11,0,17.0,70.0,13.5,14.0,0
4,7,2,11,96,2011,5018,680,1700000,5,4,90000,315,5000,0,20,12,19,27,7,10.5,379.7,515.0,19.0,0
4,7,2,11,96,2011,5018,680,1700000,5,4,90000,315,5000,0,20,12,19,27,7,10.5,379.7,515.0,19.0,0
1,2,1,6,52,2013,1041,924,225000,5,5,50000,315,1399,1,5,7,4,10,0,20.0,68.05,160.0,16.0,0
1,2,2,28,235,2010,3049,231,249000,5,5,100000,315,1422,1,15,7,7,19,4,19.4,106.46522829131652,179.23388467374812,14.0,0
1,8,1,29,259,2008,2941,874,150000,5,8,100000,315,2179,1,11,11,10,13,4,14.4,120.0,25.5,16.0,0
1,7,5,23,212,2002,3396,1045,130000,5,5,120000,315,1998,1,14,10,7,14,4,14.8,68.0,12.5,13.0,0
4,7,2,6,55,2000,1101,943,50000,5,5,80000,315,1999,0,0,0,0,0,0,9.0,106.46522829131652,179.23388467374812,16.0,0
4,7,2,8,56,2015,1167,1003,375000,5,5,50000,105,1198,1,10,10,4,14,3,18.0,86.7,109.0,16.0,0
4,2,1,27,230,2022,7431,25,550000,5,5,10000,107,999,1,11,7,8,22,9,21.74,67.0,91.0,16.0,0
4,2,1,9,73,2019,5604,98,590000,2,5,38771,107,1197,1,16,9,13,24,7,18.9,81.86,179.23388467374812,16.0,0
4,2,1,19,148,2018,6041,745,511000,2,5,42174,139,998,0,10,10,10,19,7,21.63,67.0,90.0,16.0,0
1,7,1,29,249,2017,2708,1191,260000,5,5,120000,139,1396,1,8,6,7,11,4,19.09,69.0,135.0,14.0,0
4,2,1,27,230,2017,8976,19,381000,2,5,43199,110,999,1,9,9,7,21,6,23.01,67.0,91.0,16.0,0
1,8,2,16,134,2014,3822,1734,819000,4,7,65000,105,2179,1,17,10,11,20,4,15.1,140.0,330.0,16.0,0
4,2,1,19,143,2016,3963,138,575000,5,5,20000,141,1197,1,8,9,5,22,0,21.4,83.1,115.0,16.0,0
4,2,2,27,230,2019,7428,1348,428000,4,5,10155,108,799,1,5,8,5,20,0,22.25,53.26,72.0,16.0,0
4,2,2,9,82,2006,1715,1779,195000,2,5,110654,138,1086,1,0,0,0,0,0,0.0,106.46522829131652,179.23388467374812,13.0,0
4,2,1,19,163,2020,7059,1912,696000,4,5,50704,111,1197,1,18,12,14,32,11,21.21,81.8,113.0,16.0,0
4,2,1,9,74,2020,7543,1604,740000,2,5,34725,112,998,1,14,11,13,24,11,20.7,98.63,179.23388467374812,15.0,0
1,8,2,16,134,2013,8182,1749,825000,5,7,90000,105,2179,1,17,11,12,22,6,15.1,140.0,330.0,17.0,0
4,2,1,9,75,2011,1567,989,300000,5,5,30000,139,1086,1,6,7,4,11,0,19.81,68.05,99.04,16.0,0
1,2,1,29,261,2016,2984,54,500000,5,5,60000,107,1047,1,14,11,13,24,8,27.28,69.0,140.0,16.0,0
1,7,2,24,219,2013,3347,930,229999,5,5,120000,3,1461,1,17,11,12,16,7,21.64,84.8,200.0,15.0,0
4,7,2,6,54,2004,1076,393,75000,5,5,80000,107,1597,1,11,9,6,12,2,14.2,92.0,130.0,13.0,0
4,7,1,9,66,2009,1435,1044,260000,5,5,60000,108,1495,1,13,9,6,7,0,13.2,94.0,12.5,13.0,0
4,2,1,19,170,2008,4333,1676,240000,2,5,57709,107,998,1,5,5,4,11,0,18.9,67.1,90.0,13.0,0
4,8,1,16,129,2022,7960,1184,1500000,5,4,20000,315,1997,1,12,10,7,24,9,15.2,150.0,300.0,18.0,0
4,2,1,9,75,2010,1591,1229,275000,5,5,90000,109,1197,1,10,7,2,10,0,20.36,78.9,111.7,13.0,0
1,7,2,11,95,2014,5006,485,2000000,5,5,60000,315,2179,0,22,14,12,29,9,16.36,187.7,450.0,20.0,0
1,8,2,16,134,2016,3801,1734,1013000,2,7,26224,120,2179,1,19,11,14,22,8,16.0,140.0,330.0,16.0,0
4,7,2,8,59,2016,1215,1115,677000,2,5,32196,108,1497,1,17,12,10,23,7,17.8,117.3,145.0,15.0,0
1,5,1,19,151,2016,4046,1450,900000,5,7,120000,315,1248,1,15,11,12,24,8,24.52,88.5,200.0,15.0,0
4,2,3,9,76,2017,1481,1484,591000,5,5,56672,107,1197,1,14,10,10,21,7,18.6,81.83,114.7,16.0,0
4,2,1,19,162,2020,7173,1716,428000,2,5,21226,144,998,1,8,6,5,20,10,21.7,65.71,89.0,16.0,0
1,8,2,30,271,2010,2263,586,1145000,2,7,105000,109,2982,1,17,13,16,24,7,11.5,106.46522829131652,343.0,17.0,0
4,2,1,9,74,2022,7091,1481,697000,5,5,10346,141,1197,1,15,11,12,24,10,20.7,81.86,179.23388467374812,14.0,0
4,7,3,19,164,2020,7712,1691,630000,5,5,30000,315,1197,0,14,11,9,27,8,22.61,88.5,113.0,16.0,0
4,2,1,19,141,2021,7277,1718,429000,5,5,16679,109,796,1,6,6,5,17,7,22.05,47.33,69.0,16.0,0
4,2,2,19,146,2016,10357,1891,463999,2,5,15437,109,998,1,12,9,10,24,7,25.24,65.71,89.0,16.0,0
4,5,1,27,234,2019,6207,1369,750000,5,7,40000,315,999,1,16,10,11,26,8,20.0,72.0,96.0,16.0,0
4,8,2,9,85,2019,6946,1554,1100000,5,5,30000,107,998,0,20,11,12,31,6,18.15,118.35,171.6,16.0,0
1,7,1,9,70,2014,1473,866,700000,5,5,90000,91,1582,1,17,11,9,27,4,22.7,126.24,259.87,16.0,0
1,7,2,20,183,2013,9048,816,1100000,5,5,110000,105,2200,0,20,12,13,25,6,15.8,170.0,42.0,16.0,0
4,8,1,28,237,2022,9806,43,1695000,2,5,20000,107,999,1,21,11,21,27,11,18.09,113.98,178.0,17.0,0
1,8,1,0,10,2011,121,588,2000000,5,7,120000,105,2967,0,20,13,17,30,7,12.07,241.4,550.0,18.0,0
4,4,1,19,150,2021,7346,693,500000,5,7,10000,108,1196,1,2,5,3,13,0,16.11,72.41,98.0,16.0,0
4,8,3,8,61,2005,1321,516,200000,5,5,110000,105,2354,1,14,10,9,18,4,11.1,158.8,218.0,17.0,0
1,7,1,11,95,2017,5439,431,2700000,5,5,120000,107,1999,0,29,14,11,38,11,19.33,177.0,430.0,20.0,0
4,2,1,4,38,2020,7846,30,360000,5,5,50000,105,999,1,7,9,9,21,9,21.7,67.05,179.23388467374812,16.0,0
4,2,1,8,62,2017,1339,156,733000,2,5,15017,107,1199,1,13,12,12,22,9,18.7,88.7,110.0,15.0,0
4,2,1,19,170,2013,4350,1694,375000,2,5,75283,108,998,1,9,8,10,16,4,18.9,67.1,90.0,14.0,0
1,8,2,29,245,2021,7503,1818,1885000,5,5,54568,112,1956,1,16,14,14,25,10,16.35,167.67,350.0,17.0,0
4,2,1,9,76,2016,1480,1229,657000,2,5,14516,139,1197,1,13,8,6,17,6,18.6,81.83,114.7,16.0,0
4,2,1,19,143,2019,3964,79,729000,2,5,53627,141,1197,0,11,10,12,24,8,21.4,83.1,115.0,16.0,0
4,7,1,29,263,2021,7373,1826,800000,5,5,20000,315,1199,1,16,11,16,22,11,19.28,84.82,113.0,15.0,0
4,2,2,27,230,2019,8707,28,501000,4,5,5083,138,999,0,9,9,7,21,6,23.01,67.0,91.0,16.0,0
1,8,2,16,130,2016,3755,1576,650000,5,7,100000,109,1493,1,10,11,11,23,4,18.49,100.0,240.0,15.0,0
4,7,1,8,59,2017,5630,1126,1005000,4,5,50666,141,1497,0,27,12,13,29,9,18.0,117.6,145.0,16.0,0
4,8,1,29,253,2022,8894,1838,1193000,4,5,16962,141,1199,1,23,14,14,27,10,17.57,118.36,179.23388467374812,16.0,0
4,2,1,31,285,2019,6301,12,900000,5,5,10000,109,999,1,17,11,15,22,9,18.78,75.0,95.0,16.0,0
1,8,1,16,135,2022,8620,797,2150000,5,7,10000,315,2198,1,18,12,15,24,10,0.0,182.38,420.0,18.0,0
4,2,1,31,285,2017,1941,1055,925000,2,5,70446,139,1197,0,14,11,14,20,8,17.21,103.5,175.0,16.0,0
4,2,2,31,285,2017,1941,1055,865000,5,5,60528,107,1197,0,14,11,14,20,8,17.21,103.5,175.0,16.0,0
4,8,1,31,287,2021,8610,49,1585000,2,5,7132,106,999,1,23,12,23,32,12,20.08,113.98,178.0,17.0,0
1,7,5,6,50,2009,994,237,120000,5,5,100000,315,1399,1,12,7,10,16,4,17.8,68.0,16.3,14.0,0
1,8,3,20,195,2012,4660,1264,1800000,5,5,80000,107,2987,0,25,14,18,29,8,11.74,254.8,619.0,19.0,0
4,8,1,20,193,2018,5533,650,7000000,5,5,30000,315,2996,0,29,16,18,32,8,8.9,384.87,520.0,21.0,0
1,2,3,29,248,2015,2520,942,195000,5,5,120000,315,1405,1,8,8,8,16,7,17.88,48.21,85.0,16.0,0
4,2,1,9,76,2018,5703,68,799000,2,5,21280,141,1197,1,18,10,11,25,9,18.6,81.83,114.7,16.0,0
4,8,1,6,48,2017,889,314,689000,6,5,82021,107,1499,0,15,13,13,25,7,15.63,110.4,140.0,16.0,0
4,8,1,29,253,2023,9667,1839,1068000,4,5,18998,134,1199,1,20,13,13,25,11,17.33,118.35,170.0,16.0,0
1,8,1,12,97,2018,5930,436,1798999,5,5,56189,105,1956,1,14,12,16,25,8,16.3,170.0,350.0,17.0,0
4,2,2,19,162,2020,7172,1682,383000,4,5,57644,121,998,1,6,6,5,20,7,21.7,65.71,89.0,16.0,0
4,2,2,19,141,2018,3923,1711,327000,2,5,51286,139,796,1,7,8,4,14,5,24.7,47.3,69.0,16.0,0
1,8,1,16,123,2012,3598,824,195000,5,7,120000,191,1493,1,9,12,10,14,5,17.21,100.0,240.0,16.0,0
4,2,1,9,74,2019,7091,1481,639000,5,5,27937,134,1197,1,15,11,12,24,10,20.7,81.86,179.23388467374812,14.0,0
1,8,2,27,227,2013,5066,698,575000,2,5,64000,139,1461,1,15,9,7,14,4,20.45,83.8,200.0,16.0,0
4,8,2,6,48,2017,885,315,660000,2,5,40031,77,1499,1,8,8,7,18,6,15.85,110.4,140.0,16.0,0
4,2,2,19,141,2017,7073,1192,325000,2,5,47619,107,796,1,5,6,4,13,0,22.05,47.33,69.0,16.0,0
4,2,5,9,76,2009,1615,753,225000,5,5,90000,315,1197,1,15,12,12,21,4,17.0,106.46522829131652,179.23388467374812,14.0,0
4,8,1,30,278,2022,7974,1316,1075000,5,5,20000,109,1462,0,24,13,21,31,11,18.76,103.26,179.23388467374812,16.0,0
4,8,1,30,278,2022,7971,1314,975000,5,5,20000,109,1462,1,25,13,21,30,11,17.03,103.26,179.23388467374812,16.0,0
4,2,3,9,75,2010,1586,1484,300000,5,5,70000,109,1197,1,10,8,4,11,4,20.36,78.9,111.8,13.0,0
1,7,3,19,166,2011,4262,1635,290000,5,5,110000,120,1248,1,14,9,6,12,5,21.5,88.8,200.0,15.0,0
4,2,3,8,58,2012,1203,1399,260000,5,5,40000,315,1198,1,10,8,5,16,3,19.4,86.8,109.0,16.0,0
1,7,3,24,219,2012,3350,936,360000,5,5,100000,105,1461,1,14,9,6,19,4,21.64,84.8,200.0,14.0,0
1,8,4,1,21,2013,357,477,1500000,5,5,10000,315,1995,0,0,0,0,0,0,16.55,218.0,25.5,17.0,0
4,2,4,9,71,2017,1504,875,250000,5,5,60000,315,814,1,7,6,5,12,0,21.1,55.2,74.5,16.0,0
4,8,1,16,129,2021,8074,1182,1773999,2,4,24000,108,1997,0,12,10,7,24,9,0.0,150.0,320.0,18.0,0
4,8,2,9,85,2020,7927,1545,1073000,4,5,30535,141,998,1,24,13,21,35,10,18.0,118.35,171.6,16.0,0
4,2,2,19,142,2017,7013,1711,349000,4,5,20229,108,998,1,9,9,7,20,5,23.95,67.05,90.0,16.0,0
4,2,1,19,146,2018,7364,1676,484999,5,5,35800,135,998,1,8,7,6,20,0,21.63,67.05,90.0,16.0,0
4,2,1,19,170,2021,7053,1706,591000,2,5,11453,107,1197,1,10,9,5,27,6,20.52,81.8,113.0,16.0,0
4,2,1,9,76,2016,1481,1484,657000,2,5,35410,109,1197,1,14,10,10,21,7,18.6,81.83,114.7,16.0,0
4,2,1,19,140,2009,3919,1201,210000,5,5,50000,315,796,1,5,4,2,6,0,19.7,46.3,62.0,12.0,0
4,2,1,9,73,2018,5603,90,591000,5,5,49948,107,1197,0,12,8,7,23,6,18.9,81.86,179.23388467374812,16.0,0
1,2,2,31,285,2014,1954,921,509999,2,5,77000,131,1199,1,11,12,12,16,7,22.07,73.9,180.0,15.0,0
4,2,1,9,76,2017,1481,1484,658000,2,5,48285,139,1197,1,14,10,10,21,7,18.6,81.83,114.7,16.0,0
4,2,1,27,230,2021,7435,832,513999,2,5,19062,139,999,1,12,8,9,22,9,21.74,67.0,91.0,16.0,0
4,2,2,9,75,2011,1571,1488,330000,5,5,70000,315,1197,0,10,9,8,13,5,16.95,78.9,111.8,13.0,0
1,7,2,20,186,2015,4625,968,2250000,5,5,120000,315,2143,0,20,12,11,28,5,13.0,201.1,500.0,17.0,0
4,2,1,3,34,2022,9140,1330,950000,5,5,10000,107,1199,1,10,9,9,21,11,19.3,108.62,190.0,16.0,0
4,2,3,31,285,2014,1973,114,495000,5,5,80000,108,1198,1,11,11,10,20,4,16.47,74.0,110.0,15.0,0
4,2,2,5,42,2007,815,61,110000,5,5,80000,106,1108,1,11,7,8,11,0,15.5,57.0,9.4,13.0,0
4,7,1,30,268,2011,2190,1021,330000,2,5,87000,106,1496,1,0,0,0,0,0,17.6,88.73,132.0,15.0,0
1,7,1,31,290,2016,1996,309,775000,5,5,80000,109,1498,0,23,12,13,25,9,22.15,108.6,250.0,15.0,0
4,2,2,19,170,2010,4350,1694,260000,5,5,110000,109,998,1,9,8,10,16,4,18.9,67.1,90.0,14.0,0
4,7,3,8,59,2009,1254,283,300000,5,5,90000,109,1497,0,17,10,9,20,5,16.8,106.46522829131652,179.23388467374812,15.0,0
4,2,1,19,163,2019,7056,738,650000,5,5,30000,315,1197,0,12,11,6,28,7,21.21,81.8,113.0,16.0,0
4,2,1,19,142,2016,3946,1676,375000,2,5,56276,139,998,1,9,9,6,19,5,23.95,67.05,90.0,16.0,0
4,2,1,9,76,2016,1480,1229,647000,2,5,27103,141,1197,1,13,8,6,17,6,18.6,81.83,114.7,16.0,0
1,2,2,6,52,2011,1032,919,245000,5,5,80000,315,1399,1,9,6,4,13,0,20.0,68.0,160.0,16.0,0
4,2,1,19,158,2017,5554,66,591000,6,5,46507,107,1197,0,11,10,5,24,7,20.89,81.8,113.0,16.0,0
4,2,1,9,73,2018,5604,98,575000,5,5,30000,108,1197,1,16,9,13,24,7,18.9,81.86,179.23388467374812,16.0,0
4,7,1,19,164,2017,7077,1679,659000,6,5,39070,107,1197,1,19,11,8,29,9,21.21,81.8,113.0,16.0,0
1,7,1,30,268,2019,7214,211,720000,5,5,120000,107,1364,1,12,10,6,24,0,23.59,67.05,170.0,16.0,0
4,2,1,19,143,2020,6777,896,733000,5,5,22438,108,1197,1,11,10,14,27,7,21.01,81.8,113.0,16.0,0
4,2,2,19,143,2020,5920,78,867000,6,5,21225,139,1197,0,15,12,13,28,9,21.4,83.1,115.0,16.0,0
4,2,1,8,62,2019,6506,1664,850000,2,5,28737,109,1199,0,21,13,13,25,9,18.2,88.7,110.0,15.0,0
4,8,1,27,229,2021,8358,1374,919999,5,5,20000,120,999,1,18,11,15,25,12,20.5,98.63,160.0,16.0,0
1,2,1,9,76,2019,6255,925,720000,5,5,30000,108,1396,1,14,9,6,23,6,22.54,88.76,179.23388467374812,16.0,0
4,2,3,2,32,2009,593,7,120000,5,5,70000,141,995,1,9,7,3,11,0,18.0,62.0,90.3,13.0,0
1,7,2,20,183,2010,4692,569,650000,5,5,120000,12,2143,0,20,12,15,25,5,14.84,170.0,400.0,16.0,0
4,2,2,9,76,2012,1654,1484,350000,5,5,80000,315,1197,1,10,11,10,19,4,18.5,82.85,113.7,14.0,0
1,2,2,31,285,2010,1955,934,360000,5,5,100000,315,1199,1,8,10,7,13,3,22.07,73.9,180.0,14.0,0
1,7,1,0,4,2013,56,468,1600000,5,5,80000,315,1968,0,22,13,13,31,11,17.68,174.33,380.0,17.0,0
4,2,3,19,154,2009,4079,1192,200000,5,5,40000,107,1061,1,0,0,0,0,0,19.5,106.46522829131652,179.23388467374812,16.0,0
1,7,1,28,239,2018,5913,466,1600000,5,5,70000,106,1968,1,24,13,13,29,9,21.0,141.0,320.0,16.0,0
1,2,2,9,76,2013,1653,1243,381000,5,5,90106,105,1396,1,11,10,7,15,6,21.9,88.8,219.7,14.0,0
4,7,1,28,242,2009,9004,979,400000,5,5,50000,155,1798,1,20,12,13,29,5,13.7,157.75,250.0,16.0,0
4,2,1,19,146,2016,10358,1685,389000,6,5,138175,138,998,0,10,8,6,23,0,26.68,65.71,89.0,16.0,0
4,2,1,27,230,2019,7191,833,445000,5,5,55609,115,999,1,12,10,7,22,8,23.01,67.0,91.0,16.0,0
1,2,3,29,248,2015,2510,941,186000,5,5,120000,315,1405,1,6,6,3,10,0,17.88,48.21,85.0,16.0,0
4,2,1,19,163,2018,10404,1685,642000,2,5,56410,138,1197,0,10,8,7,26,6,22.56,88.5,113.0,16.0,0
4,2,1,19,143,2022,8816,900,725000,5,5,30000,315,1197,1,10,10,12,26,10,22.35,88.5,113.0,16.0,0
4,2,1,9,76,2017,1481,1484,616000,2,5,77593,121,1197,1,14,10,10,21,7,18.6,81.83,114.7,16.0,0
4,8,1,8,65,2018,5475,1127,694000,4,5,49538,120,1199,1,19,11,10,28,7,17.5,88.7,110.0,16.0,0
1,7,4,2,28,2012,481,1165,400000,5,5,87000,315,1998,1,17,10,9,12,4,17.3,163.7,380.0,16.0,0
1,8,1,16,115,2016,3454,1309,650000,5,9,80000,315,2523,1,3,8,4,11,0,15.96,63.0,180.0,16.0,0
4,2,2,4,38,2018,5907,29,300000,5,5,50000,120,999,1,10,7,6,19,5,22.5,67.0,91.0,16.0,0
1,2,1,19,163,2012,4204,1635,400000,5,5,120000,109,1248,1,11,10,9,15,3,22.9,74.0,190.0,14.0,0
4,2,1,19,163,2018,6324,1681,649000,5,5,30000,139,1197,1,12,10,5,26,7,22.0,81.8,113.0,16.0,0
1,2,2,31,285,2010,1955,934,360000,5,5,100000,107,1199,1,8,10,7,13,3,22.07,73.9,180.0,14.0,0
1,2,2,31,285,2010,1955,934,360000,5,5,100000,315,1199,1,8,10,7,13,3,22.07,73.9,180.0,14.0,0
4,2,3,9,82,2010,1711,1039,240000,5,5,120000,139,1086,1,9,6,6,16,4,17.92,62.1,96.1,13.0,0
4,2,1,9,74,2021,7720,735,800000,5,5,30000,315,1197,0,20,12,16,24,11,20.7,81.86,179.23388467374812,15.0,0
1,2,1,19,163,2009,4191,157,350000,5,5,100000,315,1248,1,10,8,7,0,0,17.8,106.46522829131652,179.23388467374812,15.0,0
4,2,2,19,146,2016,10356,1676,415000,5,5,41268,109,998,1,11,7,6,22,0,25.24,65.71,89.0,16.0,0
4,2,1,19,163,2011,10403,1676,384000,2,5,60020,109,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
1,8,1,16,134,2015,3807,1721,900000,5,7,120000,105,2179,1,23,11,17,30,8,16.0,140.0,330.0,17.0,0
1,2,1,9,76,2016,1488,766,782000,5,5,32148,107,1396,1,18,11,12,24,8,22.54,88.73,219.7,16.0,0
4,2,1,19,146,2016,10360,1894,463000,2,5,69565,108,998,0,11,9,10,25,7,26.0,65.71,89.0,16.0,0
1,2,1,8,62,2017,1345,328,660000,5,5,60000,315,1498,1,13,12,12,22,9,27.3,98.6,200.0,15.0,0
4,2,1,19,163,2018,10404,1685,663000,2,5,26007,146,1197,0,10,8,7,26,6,22.56,88.5,113.0,16.0,0
4,8,2,6,48,2018,884,4,900000,5,5,30000,105,999,1,16,13,15,25,9,18.88,123.24,170.0,16.0,0
4,2,2,19,163,2010,10403,1676,316000,2,5,134850,139,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
4,2,1,19,146,2015,10356,1676,436000,2,5,44385,105,998,1,11,7,6,22,0,25.24,65.71,89.0,16.0,0
1,8,2,29,252,2009,2823,911,280000,5,7,120000,109,2179,1,12,12,15,15,3,13.93,138.0,320.0,16.0,0
1,8,1,9,69,2018,1445,348,1350000,5,5,30000,102,1582,1,23,11,16,28,8,19.67,126.2,259.9,17.0,0
1,7,3,1,14,2011,210,610,975000,5,5,87000,139,1995,0,20,12,13,25,6,13.2,170.0,34.7,16.0,0
4,7,1,8,59,2014,1217,1112,520000,2,5,102662,106,1497,0,21,14,11,23,7,18.0,117.3,145.0,15.0,0
4,8,1,28,237,2022,8677,46,1764999,2,5,13802,107,999,0,21,11,20,31,11,17.2,113.98,178.0,17.0,0
1,2,4,6,52,2011,1033,924,175000,5,5,90000,107,1399,1,6,6,3,7,0,20.0,68.0,160.0,16.0,0
4,2,2,9,76,2011,1634,71,400000,5,5,40000,109,1197,1,15,12,12,21,4,17.0,106.46522829131652,179.23388467374812,14.0,0
4,7,2,20,183,2011,4701,811,950000,5,5,65000,105,1991,0,27,15,15,29,8,14.74,184.0,300.0,17.0,0
4,8,1,13,103,2020,7110,1057,1595000,2,5,42000,106,1353,1,23,10,13,27,9,16.1,138.0,179.23388467374812,17.0,0
4,2,2,9,73,2017,5606,101,593000,2,5,13444,107,1197,0,15,9,11,24,7,18.9,81.86,179.23388467374812,14.0,0
1,8,1,16,133,2019,6799,1753,1057000,5,5,56226,106,1497,1,21,12,16,36,8,20.0,115.0,300.0,17.0,0
4,2,1,27,230,2020,7433,23,560000,4,5,8733,105,999,0,10,7,8,22,9,22.0,67.0,91.0,16.0,0
4,7,1,8,59,2020,7905,1889,1264000,2,5,57963,107,1498,0,27,12,15,35,10,18.3,119.35,145.0,16.0,0
4,7,1,8,59,2022,1288,873,1666000,2,5,19508,109,1497,0,13,9,6,13,5,16.4,78.0,12.7,14.0,0
4,7,1,8,59,2018,5626,1129,789000,5,5,49423,106,1497,1,25,11,11,28,9,17.4,117.6,145.0,15.0,0
4,2,2,19,163,2012,10403,1676,459000,2,5,78622,109,1197,1,11,7,7,26,6,22.38,88.5,113.0,16.0,0
1,8,1,9,85,2022,9162,1526,1275000,5,5,18025,109,1493,1,20,12,18,30,10,0.0,113.45,250.0,16.0,0
4,7,1,8,59,2010,1245,285,375000,2,5,68220,107,1497,1,17,10,8,20,5,17.0,106.46522829131652,179.23388467374812,15.0,0
1,8,1,12,99,2022,9908,1155,3875000,2,7,6000,109,1956,0,21,12,21,28,12,0.0,172.35,350.0,18.0,0
1,8,1,16,129,2018,3744,850,985000,5,6,59889,138,2498,1,6,9,7,11,0,16.55,105.0,247.0,16.0,0
1,7,2,11,94,2019,5846,480,3775000,2,5,11000,108,1999,0,27,14,10,35,10,13.5,177.0,430.0,17.0,0
4,2,1,9,76,2019,7471,1503,825000,2,5,38500,109,1197,1,18,11,11,28,8,18.6,81.86,179.23388467374812,15.0,0
1,8,2,30,271,2013,2252,665,1625000,2,7,120000,139,2982,0,20,11,12,23,10,12.55,168.5,360.0,17.0,0
1,7,2,1,14,2016,196,610,2198000,5,5,39157,109,1995,0,27,15,15,32,9,22.69,190.0,400.0,16.0,0
1,5,1,30,275,2008,2302,533,825000,2,7,162000,105,2494,1,17,9,8,15,4,12.8,102.0,20.4,15.0,0
4,2,2,1,12,2013,193,427,1175000,4,5,89900,139,1598,0,17,14,13,28,6,16.28,136.0,220.0,16.0,0
4,2,1,19,143,2017,3964,79,656000,2,5,58666,124,1197,0,11,10,12,24,8,21.4,83.1,115.0,16.0,0
4,7,1,19,164,2018,7079,738,612000,5,5,54137,109,1197,0,18,12,8,29,9,21.21,81.8,113.0,16.0,0
1,8,2,30,271,2011,2263,586,1195000,2,7,180000,139,2982,1,17,13,16,24,7,11.5,106.46522829131652,343.0,17.0,0
4,2,1,27,230,2019,5375,27,436000,2,5,21997,107,999,1,9,9,7,21,6,23.01,67.0,91.0,16.0,0
4,7,2,19,164,2020,7081,747,721000,2,5,40394,108,1197,0,23,13,11,33,10,21.21,81.8,113.0,15.0,0
1,8,2,1,20,2015,345,1428,1750000,2,5,49000,139,1995,0,23,13,16,28,7,17.05,184.0,380.0,17.0,0
4,8,1,6,48,2017,887,317,620000,2,5,80390,132,1499,1,12,9,8,20,6,15.85,110.4,140.0,16.0,0
1,7,1,20,183,2018,6598,1327,3299000,2,5,52721,108,1950,0,32,16,14,34,10,12.6,194.0,400.0,17.0,0
4,2,1,19,143,2017,3964,79,643000,2,5,55127,107,1197,0,11,10,12,24,8,21.4,83.1,115.0,16.0,0
1,8,2,6,48,2018,6093,247,822000,2,5,35922,109,1498,1,17,12,12,27,9,23.0,98.96,205.0,16.0,0
4,7,1,8,56,2019,6421,1625,838000,5,5,16883,107,1199,0,18,12,10,27,8,19.0,88.76,110.0,16.0,0
1,8,2,27,227,2013,5051,421,625000,2,5,86000,105,1461,1,21,13,11,25,9,19.6,108.45,245.0,16.0,0
4,7,1,28,239,2016,5910,405,1125000,2,5,88000,105,1798,0,24,13,13,29,9,15.1,178.0,250.0,16.0,0
1,8,1,12,97,2020,7321,443,2545000,2,5,34000,105,1956,0,17,12,18,25,8,17.1,173.0,350.0,18.0,0
1,2,1,28,235,2013,3039,147,345000,2,5,110000,105,1199,1,15,8,7,12,2,20.86,75.0,180.0,14.0,0
1,8,1,27,227,2020,7019,1353,999000,5,5,55398,107,1461,1,15,9,7,24,21,19.87,106.46522829131652,200.0,16.0,0
4,8,2,6,48,2015,7921,269,675000,2,5,54000,106,1496,0,21,13,16,33,8,14.7,120.69,149.0,16.0,0
4,2,1,31,285,2019,6301,12,875000,2,5,25829,112,999,1,17,11,15,22,9,18.78,75.0,95.0,16.0,0
4,2,1,19,146,2016,3979,1676,484999,2,5,36913,105,998,1,10,7,5,13,0,23.1,67.04,90.0,16.0,0
1,2,1,9,76,2018,5700,227,775000,2,5,34000,105,1396,1,16,10,10,24,8,22.54,88.73,219.7,16.0,0
